,precision,recall,f1-score,support
0.0,0.9204934886908842,1.0,0.9586009992862241,1343.0
1.0,1.0,0.9924636174636174,0.9962175557584453,15392.0
accuracy,0.9930684194801315,0.9930684194801315,0.9930684194801315,0.9930684194801315
macro avg,0.9602467443454421,0.9962318087318087,0.9774092775223346,16735.0
weighted avg,0.9936195252651244,0.9930684194801315,0.993198790575165,16735.0
